Income,Years_of_study
800,11
1150,11
880,14
3500,5
150,8
790,11
3150,11
1700,11
1800,13
1150,11
3000,11
2500,5
1200,5
2000,11
2000,11
6000,15
1050,9
7000,15
2000,11
1150,11
3030,0
4000,15
788,4
1000,11
800,8
788,4
1600,15
1700,11
2000,13
2400,11
3000,4
920,0
1300,9
2000,14
1300,0
600,4
1200,6
1000,2
1000,8
1500,8
900,6
900,5
0,5
300,1
1600,5
1500,9
750,11
800,0
3600,11
1500,3
3000,7
2300,6
1500,11
4500,11
4800,15
900,11
400,6
1050,1
850,6
650,11
300,5
900,4
1000,10
970,7
1000,11
600,6
1000,9
800,9
0,0
200,5
1400,3
2500,11
3000,3
1100,1
2000,0
1400,10
788,4
1400,8
1000,3
600,3
788,3
500,3
1500,3
1400,0
600,8
800,8
1200,8
2500,8
1200,11
2000,0
1300,14
800,8
550,0
975,5
1500,4
1200,11
1145,8
1200,0
1500,8
1200,11
850,8
1200,9
900,10
1200,1
2500,8
400,10
1100,11
1200,11
2500,11
4000,13
2500,15
788,5
2000,11
788,11
380,8
836,11
1250,14
1325,11
1550,7
1800,7
1500,0
20000,11
3000,4
1600,0
788,3
1400,8
580,10
1500,4
1000,4
100,4
0,8
1000,3
390,11
788,2
1800,3
400,0
1500,6
2000,8
350,4
1600,1
1600,7
1000,0
788,2
3000,15
2000,4
10000,11
900,15
6000,6
1600,14
1300,11
1400,11
1400,11
3500,15
2500,11
1700,11
4500,8
1700,11
4124,11
1500,11
1200,11
1000,12
1200,11
1600,11
950,10
1500,10
1500,10
4000,15
900,5
6000,15
3000,0
6000,15
0,11
2200,14
2000,11
4000,15
1000,0
1400,0
788,4
788,8
1700,8
1000,0
3000,15
1500,4
1100,5
1000,0
1100,11
1200,8
2580,8
1900,0
2150,15
1800,11
300,5
1300,4
788,11
2800,15
1440,4
850,4
9000,15
7800,14
1200,4
1500,10
3000,11
400,5
550,6
1200,11
1500,11
1100,5
900,5
2300,11
8000,15
1400,12
5000,15
2500,2
1490,11
2300,2
430,4
400,8
300,11
160,9
900,15
688,3
400,8
1000,2
0,8
8000,8
805,15
6000,11
2000,15
850,11
5200,15
789,1
2000,0
5000,15
400,11
1800,8
4000,11
1000,11
200,5
250,0
800,2
1600,11
800,7
1600,5
1000,0
2500,4
250,0
1000,3
10000,0
1200,2
1200,12
3000,4
1200,6
2500,0
1000,14
2700,11
1300,15
500,5
1000,13
1500,4
1900,5
1300,6
300,9
788,0
788,2
2500,4
788,1
1020,8
600,0
1920,11
1500,4
788,0
1000,11
2500,1
789,11
830,6
1000,11
1800,6
2300,7
800,11
788,5
1200,15
230,10
2364,15
500,6
1800,0
3650,2
850,0
0,4
2000,8
1500,0
700,4
750,3
800,4
1200,0
1400,3
750,0
300,8
788,9
400,5
400,15
788,5
788,0
1500,3
1500,6
3000,15
1400,11
1000,11
800,11
800,6
700,11
900,7
788,8
788,11
400,0
2000,15
3000,11
300,14
1300,11
1200,5
1500,7
200,9
1600,7
1200,2
1500,0
400,0
350,5
2400,4
0,4
788,0
800,5
0,0
1100,7
2500,12
0,1
2000,15
3000,13
5000,15
3500,15
3500,8
800,9
800,4
850,13
850,8
788,0
1500,8
1000,8
1200,11
800,9
2000,5
1000,7
2000,15
800,0
788,8
1300,3
2500,11
1000,5
3500,11
800,3
788,8
1500,8
1600,8
1700,7
2000,6
1000,15
100,8
788,8
1400,11
1200,15
1500,4
1300,4
600,7
900,5
1200,3
2000,4
900,11
2000,0
900,3
788,0
900,3
1500,8
788,11
10000,15
788,9
2800,11
788,8
788,0
2000,10
789,11
1500,13
2800,13
3000,8
1200,11
2000,12
1000,8
2500,6
1150,15
2000,4
5000,8
3000,11
8000,15
1200,5
2500,11
10000,8
788,6
2400,11
3000,8
1900,15
7500,15
3310,11
900,4
800,0
3500,5
1000,11
8500,4
250,4
950,1
1300,3
1500,8
2000,15
7000,11
6000,11
3400,11
788,11
1200,11
780,11
788,11
2000,10
1400,6
1800,15
900,5
1182,0
600,0
4200,15
788,11
150,12
4000,12
7000,15
1700,15
80,8
800,11
1000,11
2000,5
788,4
870,4
1200,6
200,0
1100,10
1000,4
2000,8
200,9
4300,15
2000,11
1200,3
1070,1
1000,5
800,8
5000,15
350,0
500,7
500,9
1100,0
1200,11
788,3
1000,2
400,8
788,3
150,4
3000,8
1300,11
200,4
788,10
250,1
1000,11
788,5
788,8
2000,11
600,0
600,11
4500,7
1000,11
788,2
1400,8
500,5
0,11
350,7
920,11
2400,15
800,5
4800,4
3000,11
1200,8
1500,10
2500,7
1500,11
1500,15
1500,11
1000,8
2000,1
1300,8
1200,11
1400,4
1000,4
1500,4
1000,9
2500,14
200,4
1270,6
788,3
1200,12
1500,8
45000,10
1200,11
1100,8
150,8
500,3
1500,1
1200,6
1500,4
2600,8
3500,11
2400,15
100,0
750,6
900,4
5000,0
1500,0
1000,10
5000,8
1400,4
900,0
1500,3
1200,11
